Generated at 17:42 (eastern) on Wednesday 03 June 2026
Params: cond_upper_bound=None, cond_lower_bound=None
BSD(E,2) check: run (output verified)
Run took: 7 minutes 53 seconds

cremona_label,source,lmfdb_label
17842a1, CLZ20, 17842.a1
17845a1, CLZ20, 17845.a1
17938a1, CLZ20, 17938.a2
17954c1, CLZ20, 17954.c2
18066a1, CLZ20, 18066.a1
18069a1, CLZ20, 18069.a1
18071a1, CLZ20, 18071.a2
18254a1, CLZ20, 18254.a2
18293a1, CLZ20, 18293.a2
18299a1, CLZ20, 18299.a2
18381a1, CLZ20, 18381.a1
18402b1, CLZ20, 18402.b1
18429a1, CLZ20, 18429.a2
18466b1, CLZ20, 18466.b2
18471d1, CLZ20, 18471.b1
18479a1, CLZ20, 18479.a2
18527a1, CLZ20, 18527.a2
18579a1, CLZ20, 18579.a2
18829a1, CLZ20, 18829.a2
18923b1, CLZ20, 18923.a2
18941a1, CLZ20, 18941.a1
19057a1, CLZ20, 19057.c2
19122a1, CLZ20, 19122.a1
19127a1, CLZ20, 19127.a2
19234b1, CLZ20, 19234.c1
19299c1, CLZ20, 19299.a1
19329a1, CLZ20, 19329.a1
19426b1, CLZ20, 19426.b1
19451a1, CLZ20, 19451.a2
19554b1, CLZ20, 19554.a1
19581a1, CLZ20, 19581.a2
19605a1, CLZ20, 19605.a1
19659a1, CLZ20, 19659.b2
19794d1, CLZ20, 19794.c1
19842e1, CLZ20, 19842.f1
19873a1, CLZ20, 19873.a1
19934a1, CLZ20, 19934.a2
19938b1, CLZ20, 19938.b1
19954b1, CLZ20, 19954.c1
20001c1, CLZ20, 20001.c1
20082b1, CLZ20, 20082.a1
20146d1, CLZ20, 20146.d2
20226b1, CLZ20, 20226.a1
20293c1, CLZ20, 20293.c1
20307e1, CLZ20, 20307.c1
20397c1, CLZ20, 20397.a2
20447a1, CLZ20, 20447.a2
20546a1, CLZ20, 20546.a2
20687a1, CLZ20, 20687.a2
20802d1, CLZ20, 20802.d1
20845b1, CLZ20, 20845.b2
20919a1, CLZ20, 20919.b2
21134a1, CLZ20, 21134.a2
21154c1, CLZ20, 21154.d2
21173a1, CLZ20, 21173.a2
21219c1, CLZ20, 21219.b1
21282c1, CLZ20, 21282.e1
21326a1, CLZ20, 21326.a2
21369c1, CLZ20, 21369.c1
21371a1, CLZ20, 21371.b2
21394b1, CLZ20, 21394.a1
21426b1, CLZ20, 21426.b1
21442b1, CLZ20, 21442.b2
21586a1, CLZ20, 21586.a1
21749b1, CLZ20, 21749.d1
21811a1, CLZ20, 21811.a2
21826l1, CLZ20, 21826.l2
21874a1, CLZ20, 21874.a2
21891a1, CLZ20, 21891.a2
21954b1, CLZ20, 21954.c1
22017f1, CLZ20, 22017.c1
22101a1, CLZ20, 22101.d1
22146c1, CLZ20, 22146.c1
22162d1, CLZ20, 22162.e2
22245e1, CLZ20, 22245.e1
22306b1, CLZ20, 22306.b1
22318a1, CLZ20, 22318.a2
22354a1, CLZ20, 22354.a2
22434h1, CLZ20, 22434.j1
22493b1, CLZ20, 22493.a2
22523c1, CLZ20, 22523.c2
22595b1, CLZ20, 22595.b2
22629d1, CLZ20, 22629.a2
22642e1, CLZ20, 22642.a2
22803c1, CLZ20, 22803.b1
22827f1, CLZ20, 22827.f1
22839a1, CLZ20, 22839.a1
22911a1, CLZ20, 22911.a2
23074c1, CLZ20, 23074.c1
23187a1, CLZ20, 23187.a2
23282b1, CLZ20, 23282.b2
23303b1, CLZ20, 23303.a2
23303a1, CLZ20, 23303.b2
23309c1, CLZ20, 23309.c1
23349d1, CLZ20, 23349.c2
23486d1, CLZ20, 23486.c2
23586c1, CLZ20, 23586.e1
23605b1, CLZ20, 23605.a2
23713a1, CLZ20, 23713.a2
23755a1, CLZ20, 23755.a2
23845a1, CLZ20, 23845.b2
23891b1, CLZ20, 23891.d2
24017a1, CLZ20, 24017.a1
24018a1, CLZ20, 24018.a1
24226c1, CLZ20, 24226.b2
24267a1, CLZ20, 24267.b2
24283b1, CLZ20, 24283.b2
24311a1, CLZ20, 24311.a1
24546d1, CLZ20, 24546.f1
24559a1, CLZ20, 24559.a2
24567a1, CLZ20, 24567.a1
24594b1, CLZ20, 24594.c1
24771d1, CLZ20, 24771.b2
24834a1, CLZ20, 24834.a1
24898f1, CLZ20, 24898.g1
24981b1, CLZ20, 24981.b2
25069a1, CLZ20, 25069.a2
25138a1, CLZ20, 25138.a2
25266c1, CLZ20, 25266.c1
25314a1, CLZ20, 25314.c1
25403a1, CLZ20, 25403.a1
25426a1, CLZ20, 25426.a2
25487a1, CLZ20, 25487.a1
25687a1, CLZ20, 25687.a2
25701a1, CLZ20, 25701.a2
25851b1, CLZ20, 25851.b1
25967a1, CLZ20, 25967.a2
25979b1, CLZ20, 25979.b2
25989a1, CLZ20, 25989.b2
25993b1, CLZ20, 25993.c1
26089a1, CLZ20, 26089.a2
26126a1, CLZ20, 26126.a2
26369a1, CLZ20, 26369.a2
26439b1, CLZ20, 26439.a2
26543b1, CLZ20, 26543.b1
26621b1, CLZ20, 26621.a2
26706a1, CLZ20, 26706.a1
26805f1, CLZ20, 26805.b1
26834a1, CLZ20, 26834.a2
26859a1, CLZ20, 26859.b1
26914a1, CLZ20, 26914.a2
26995a1, CLZ20, 26995.a2
27042d1, CLZ20, 27042.d1
27122b1, CLZ20, 27122.a2
27141b1, CLZ20, 27141.b2
27159a1, CLZ20, 27159.a2
27291d1, CLZ20, 27291.f2
27298a1, CLZ20, 27298.a2
27379a1, CLZ20, 27379.b1
27447b1, CLZ20, 27447.a2
27595b1, CLZ20, 27595.a2
27858b1, CLZ20, 27858.b1
27933a1, CLZ20, 27933.a2
27998a1, CLZ20, 27998.a2
28045a1, CLZ20, 28045.a2
28066d1, CLZ20, 28066.c2
28146b1, CLZ20, 28146.b1
28162a1, CLZ20, 28162.a2
28258i1, CLZ20, 28258.h2
28402a1, CLZ20, 28402.a1
28529a1, CLZ20, 28529.a2
28613b1, CLZ20, 28613.b1
28851d1, CLZ20, 28851.b1
28869a1, CLZ20, 28869.a2
28955a1, CLZ20, 28955.b2
28993a1, CLZ20, 28993.a2
29026f1, CLZ20, 29026.f2
29086a1, CLZ20, 29086.a2
29121f1, CLZ20, 29121.a1
29121b1, CLZ20, 29121.d1
29163a1, CLZ20, 29163.a2
29183a1, CLZ20, 29183.c1
29379a1, CLZ20, 29379.b1
29379e1, CLZ20, 29379.c1
29931a1, CLZ20, 29931.b2
29969a1, CLZ20, 29969.a2
30066a1, CLZ20, 30066.a1
30191a1, CLZ20, 30191.a2
30306a1, CLZ20, 30306.a1
30317a1, CLZ20, 30317.a1
30386b1, CLZ20, 30386.a2
30547a1, CLZ20, 30547.a2
30581a1, CLZ20, 30581.a2
30617a1, CLZ20, 30617.a2
30669a1, CLZ20, 30669.a2
30751a1, CLZ20, 30751.b2
30755a1, CLZ20, 30755.a2
30889a1, CLZ20, 30889.c1
30961b1, CLZ20, 30961.b2
31179b1, CLZ20, 31179.c1
31214c1, CLZ20, 31214.b2
31245a1, CLZ20, 31245.c1
31261a1, CLZ20, 31261.a2
31559c1, CLZ20, 31559.b1
31569a1, CLZ20, 31569.b1
31691a1, CLZ20, 31691.a2
31717b1, CLZ20, 31717.e2
31838a1, CLZ20, 31838.b2
31874a1, CLZ20, 31874.a2
31979a1, CLZ20, 31979.a2
32002a1, CLZ20, 32002.a2
32037a1, CLZ20, 32037.a2
32043b1, CLZ20, 32043.b1
32254a1, CLZ20, 32254.a2
32403b1, CLZ20, 32403.a1
32433b1, CLZ20, 32433.c1
32514a1, CLZ20, 32514.c1
32658c1, CLZ20, 32658.c1
32663a1, CLZ20, 32663.a2
32669a1, CLZ20, 32669.a1
32729a1, CLZ20, 32729.a2
32793a1, CLZ20, 32793.a1
32845a1, CLZ20, 32845.a2
32907b1, CLZ20, 32907.b1
32914a1, CLZ20, 32914.a2
33153b1, CLZ20, 33153.b1
33167c1, CLZ20, 33167.a2
33187d1, CLZ20, 33187.e2
33261a1, CLZ20, 33261.a2
33281a1, CLZ20, 33281.a2
33298f1, CLZ20, 33298.a2
33378k1, CLZ20, 33378.k1
33442a1, CLZ20, 33442.a2
33501a1, CLZ20, 33501.a2
33511b1, CLZ20, 33511.a2
33586b1, CLZ20, 33586.a2
33682a1, CLZ20, 33682.a1
33691d1, CLZ20, 33691.e2
33771b1, CLZ20, 33771.b2
33833a1, CLZ20, 33833.a2
33879d1, CLZ20, 33879.a1
34066a1, CLZ20, 34066.a2
34067a1, CLZ20, 34067.d2
34167d1, CLZ20, 34167.a2
34167e1, CLZ20, 34167.e2
34405b1, CLZ20, 34405.b1
34431a1, CLZ20, 34431.a1
34491a1, CLZ20, 34491.b2
34555a1, CLZ20, 34555.a2
34738e1, CLZ20, 34738.g1
34833a1, CLZ20, 34833.a1
34853c1, CLZ20, 34853.c1
34882b1, CLZ20, 34882.a1
34923b1, CLZ20, 34923.a1
34979a1, CLZ20, 34979.a1
35137a1, CLZ20, 35137.a2
35195b1, CLZ20, 35195.a2
35202a1, CLZ20, 35202.a1
35209a1, CLZ20, 35209.a2
35426a1, CLZ20, 35426.a2
35493a1, CLZ20, 35493.a2
35634b1, CLZ20, 35634.b1
35645a1, CLZ20, 35645.a2
35699a1, CLZ20, 35699.a2
35714d1, CLZ20, 35714.e2
35719a1, CLZ20, 35719.b2
35787a1, CLZ20, 35787.a1
35795a1, CLZ20, 35795.a2
35827b1, CLZ20, 35827.b2
