curve_label,twist,reason,algorithm1_failure_class
1546a1,257,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,313,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,377,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,409,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,449,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,577,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,673,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,689,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,769,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,817,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,857,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,181,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,509,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,661,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,709,UPSTREAM_BASE_REMOVAL,A3_ONLY
1595b1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,37,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,257,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,301,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,317,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,389,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,553,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,577,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,581,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,617,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,641,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,653,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,661,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,709,UPSTREAM_BASE_REMOVAL,A3_ONLY
