curve_label,source,lmfdb_label,algorithm1_failure_class,reason,twist_file_generator_commit
7162b1,Zha16_no_2_tors,7162.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7310c1,Zha16_no_2_tors,7310.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7315b1,Zha16_no_2_tors,7315.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7370j1,Zha16_no_2_tors,7370.g2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7598h1,Zha16_no_2_tors,7598.k1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7667a1,Zha16_no_2_tors,7667.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7939a1,Zha16_no_2_tors,7939.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8098b1,Zha16_no_2_tors,8098.d2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8194a1,Zha16_no_2_tors,8194.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8283j1,Zha16_no_2_tors,8283.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8323c1,Zha16_no_2_tors,8323.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8414h1,Zha16_no_2_tors,8414.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8437b1,Zha16_no_2_tors,8437.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8510f1,Zha16_no_2_tors,8510.g2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8531a1,Zha16_no_2_tors,8531.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8827c1,Zha16_no_2_tors,8827.c3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8834e1,Zha16_no_2_tors,8834.d2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8899a1,Zha16_no_2_tors,8899.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
8930l1,Zha16_no_2_tors,8930.i2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9022a1,Zha16_no_2_tors,9022.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9062a1,Zha16_no_2_tors,9062.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9266c1,Zha16_no_2_tors,9266.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9286b1,Zha16_no_2_tors,9286.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9394d1,Zha16_no_2_tors,9394.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9394l1,Zha16_no_2_tors,9394.l3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9574e1,Zha16_no_2_tors,9574.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9595a1,Zha16_no_2_tors,9595.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9718b1,Zha16_no_2_tors,9718.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9766c1,Zha16_no_2_tors,9766.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
9934g1,Zha16_no_2_tors,9934.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10010e1,Zha16_no_2_tors,10010.g1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10010l1,Zha16_no_2_tors,10010.h1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10106a1,Zha16_no_2_tors,10106.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10310b1,Zha16_no_2_tors,10310.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10370b1,Zha16_no_2_tors,10370.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10470d1,Zha16_no_2_tors,10470.d1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10538b1,Zha16_no_2_tors,10538.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10621c1,Zha16_no_2_tors,10621.c3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10790j1,Zha16_no_2_tors,10790.i2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10846f1,Zha16_no_2_tors,10846.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10990g1,Zha16_no_2_tors,10990.g3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
10990i1,Zha16_no_2_tors,10990.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
11170d1,Zha16_no_2_tors,11170.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
11219a1,Zha16_no_2_tors,11219.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
11590o1,Zha16_no_2_tors,11590.m2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
11914e1,Zha16_no_2_tors,11914.b3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
12122b1,Zha16_no_2_tors,12122.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
12122d1,Zha16_no_2_tors,12122.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
