curve_label,twist,source,lmfdb_label,conductor,reason
1502a1,993,Zha16_no_2_tors,1502.b1,1502,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,33,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,141,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,201,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,453,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,633,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1517b1,897,Zha16_no_2_tors,1517.a1,1517,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,249,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,489,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,633,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,681,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,753,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,897,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,921,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1522b1,993,Zha16_no_2_tors,1522.d1,1522,STABLE_BASE_ALGORITHM2_REMOVAL
1541a1,93,Zha16_no_2_tors,1541.a1,1541,STABLE_BASE_ALGORITHM2_REMOVAL
1541a1,285,Zha16_no_2_tors,1541.a1,1541,STABLE_BASE_ALGORITHM2_REMOVAL
1541a1,417,Zha16_no_2_tors,1541.a1,1541,STABLE_BASE_ALGORITHM2_REMOVAL
1541a1,537,Zha16_no_2_tors,1541.a1,1541,STABLE_BASE_ALGORITHM2_REMOVAL
1541a1,933,Zha16_no_2_tors,1541.a1,1541,STABLE_BASE_ALGORITHM2_REMOVAL
1595a1,141,Zha16_no_2_tors,1595.a1,1595,STABLE_BASE_ALGORITHM2_REMOVAL
1595a1,741,Zha16_no_2_tors,1595.a1,1595,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,33,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,57,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,201,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,393,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,489,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,753,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1714c1,849,Zha16_no_2_tors,1714.c1,1714,STABLE_BASE_ALGORITHM2_REMOVAL
1730b1,321,Zha16_no_2_tors,1730.b1,1730,STABLE_BASE_ALGORITHM2_REMOVAL
1730b1,849,Zha16_no_2_tors,1730.b1,1730,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,21,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,213,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,453,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,537,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,573,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,597,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,681,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763b1,993,Zha16_no_2_tors,1763.b1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
