curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
70243a1,Zha16_no_2_tors,70243,19,19,19,0,0,0,UNCHANGED
70251a1,Zha16_no_2_tors,70251,24,24,24,0,0,0,UNCHANGED
70278c1,Zha16_no_2_tors,70278,3,3,3,0,0,0,UNCHANGED
70278i1,Zha16_no_2_tors,70278,3,3,3,0,0,0,UNCHANGED
70278x1,Zha16_no_2_tors,70278,1,1,1,0,0,0,UNCHANGED
70278y1,Zha16_no_2_tors,70278,3,3,3,0,0,0,UNCHANGED
70306a1,Zha16_no_2_tors,70306,21,21,21,0,0,0,UNCHANGED
70330b1,Zha16_no_2_tors,70330,6,6,6,0,0,0,UNCHANGED
70330g1,Zha16_no_2_tors,70330,3,3,3,0,0,0,UNCHANGED
70330h1,Zha16_no_2_tors,70330,5,5,5,0,0,0,UNCHANGED
70330i1,Zha16_no_2_tors,70330,3,3,3,0,0,0,UNCHANGED
70346a1,Zha16_no_2_tors,70346,12,12,11,1,0,0,SHRINK_ONLY
70374f1,Zha16_no_2_tors,70374,4,4,4,0,0,0,UNCHANGED
70390c1,Zha16_no_2_tors,70390,6,6,6,0,0,0,UNCHANGED
70430b1,Zha16_no_2_tors,70430,13,13,9,4,0,0,SHRINK_ONLY
70433b1,CLZ20,70433,1,1,1,0,0,0,UNCHANGED
70482b1,Zha16_no_2_tors,70482,2,2,2,0,0,0,UNCHANGED
70485b1,Zha16_no_2_tors,70485,2,2,2,0,0,0,UNCHANGED
70505b1,Zha16_no_2_tors,70505,9,9,9,0,0,0,UNCHANGED
70539b1,Zha16_no_2_tors,70539,5,5,5,0,0,0,UNCHANGED
7053a1,Zha16_no_2_tors,7053,12,12,12,0,0,0,UNCHANGED
70545a1,Zha16_no_2_tors,70545,5,5,5,0,0,0,UNCHANGED
70546b1,Zha16_no_2_tors,70546,11,11,8,3,0,0,SHRINK_ONLY
7054a1,CLZ20,7054,1,1,1,0,0,0,UNCHANGED
70554b1,Zha16_no_2_tors,70554,4,4,4,0,0,0,UNCHANGED
70555c1,Zha16_no_2_tors,70555,9,9,9,0,0,0,UNCHANGED
70557a1,Zha16_no_2_tors,70557,7,7,7,0,0,0,UNCHANGED
7055b1,Zha16_no_2_tors,7055,8,8,8,0,0,0,UNCHANGED
7058a1,Zha16_no_2_tors,7058,18,18,18,0,0,0,UNCHANGED
70590f1,Zha16_no_2_tors,70590,2,2,2,0,0,0,UNCHANGED
70590i1,Zha16_no_2_tors,70590,2,2,2,0,0,0,UNCHANGED
70590j1,Zha16_no_2_tors,70590,2,2,2,0,0,0,UNCHANGED
70590p1,Zha16_no_2_tors,70590,2,2,2,0,0,0,UNCHANGED
70590s1,Zha16_no_2_tors,70590,2,2,2,0,0,0,UNCHANGED
70606b1,Zha16_no_2_tors,70606,8,8,8,0,0,0,UNCHANGED
70606e1,Zha16_no_2_tors,70606,8,8,8,0,0,0,UNCHANGED
70606h1,Zha16_no_2_tors,70606,8,8,8,0,0,0,UNCHANGED
70626a1,Zha16_no_2_tors,70626,4,4,4,0,0,0,UNCHANGED
70626b1,Zha16_no_2_tors,70626,4,4,4,0,0,0,UNCHANGED
70626k1,Zha16_no_2_tors,70626,4,4,4,0,0,0,UNCHANGED
7062c1,Zha16_no_2_tors,7062,4,4,4,0,0,0,UNCHANGED
7062f1,Zha16_no_2_tors,7062,4,4,4,0,0,0,UNCHANGED
7062g1,Zha16_no_2_tors,7062,4,4,4,0,0,0,UNCHANGED
70635a1,Zha16_no_2_tors,70635,2,2,2,0,0,0,UNCHANGED
70645a1,Zha16_no_2_tors,70645,12,12,9,3,0,0,SHRINK_ONLY
70662b1,Zha16_no_2_tors,70662,7,7,7,0,0,0,UNCHANGED
7067b1,Zha16_no_2_tors,7067,13,13,9,4,0,0,SHRINK_ONLY
70691b1,Zha16_no_2_tors,70691,24,24,19,5,0,0,SHRINK_ONLY
70698b1,Zha16_no_2_tors,70698,6,6,6,0,0,0,UNCHANGED
70702a1,Zha16_no_2_tors,70702,4,4,4,0,0,0,UNCHANGED
7070c1,Zha16_no_2_tors,7070,6,6,5,1,0,0,SHRINK_ONLY
70723a1,Zha16_no_2_tors,70723,18,18,18,0,0,0,UNCHANGED
70738d1,Zha16_no_2_tors,70738,11,11,11,0,0,0,UNCHANGED
70770d1,Zha16_no_2_tors,70770,1,1,1,0,0,0,UNCHANGED
70770h1,Zha16_no_2_tors,70770,1,1,1,0,0,0,UNCHANGED
70770k1,Zha16_no_2_tors,70770,1,1,1,0,0,0,UNCHANGED
7077d1,Zha16_no_2_tors,7077,8,8,8,0,0,0,UNCHANGED
70790a1,Zha16_no_2_tors,70790,12,12,8,4,0,0,SHRINK_ONLY
70819a1,Zha16_no_2_tors,70819,7,7,7,0,0,0,UNCHANGED
